Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Closure_104, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_105, 1637,-,-,-,-,-,583,-,-,-,-,-,-,583,-,-,-,-,583,-,-,-,-,78,-,-,-,-,-,583,583,593,-,-,583,583,-,-,-,-,-,-,-,
Closure_106, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closure_107, 6464,3152,2052,48,3152,3152,172,4387,-,548,-,4387,172,172,275,3152,3152,1500,172,4310,1500,1584,3054,438,4387,1857,313,1129,48,172,1202,275,4387,-,172,172,3152,48,4387,172,3640,784,1857,
Closure_108, 5540,1364,2286,1634,1364,1364,2404,2820,-,2437,-,2820,2404,2404,2951,1364,1364,3010,2404,2576,-,2864,2421,2053,2820,2657,1301,2662,1634,2404,907,2951,2820,-,2404,2404,1364,1634,2820,-,2406,2709,2657,
Closure_109, 1,1,1,1,1,1,1,1,1352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1,1352,1,1,1,1,1,1,1,1,1,
Closure_110, 1,1,1,1,1,1,45,1,1,1,-,1,45,45,1,1,1,1,45,1,1,1,1,45,1,1,1,1,1,45,1,1,1,1,45,45,1,1,1,-,-,1,1,
Closure_111, 1,1,1,1,1,1,7025,1,8431,1,-,1,7025,7025,1,1,1,1,7025,1,1,1,1,7867,1,1,1,1,1,7025,1,1,1,8431,7025,7025,1,1,1,-,-,1,1,
Closure_112, 2,2,2,2,2,2,924,2,2436,3,-,2,924,924,2,2,2,2,924,2,2,2,2,924,2,3,2,3,2,924,2,2,2,2436,924,924,2,2,2,-,-,2,3,
Closure_113, 1,1,1,1,1,1,433,1,5262,1,-,1,433,433,1,1,1,1,433,1,1,1,1,433,1,1,1,1,1,433,1,1,1,5262,433,433,1,1,1,-,-,1,1,
Closure_114, 3,3,3,3,3,3,116,3,5639,3,-,3,116,116,3,3,3,3,116,3,3,3,3,116,3,3,3,3,3,116,3,3,3,5639,116,116,3,3,3,-,-,3,3,
Closure_115, 1,1,1,1,1,1,1,1,5793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,722,1,1,1,1,1,1,1,1,1,5793,1,1,1,1,1,1,1,1,1,
Closure_116, 1,4,4,8,4,4,726,1,5813,4,-,1,726,726,3,4,4,3,726,1,3,1,1,720,1,4,8,12,8,726,4,3,1,5809,726,726,4,8,1,-,1,1,4,
Closure_117, 2,2,2,2,2,2,952,2,2911,2,-,2,952,952,2,2,2,2,952,2,2,2,2,952,2,2,2,2,2,952,2,2,2,2911,952,952,2,2,2,-,-,2,2,
Closure_118, 26,29,29,29,29,29,811,26,10771,29,-,26,811,811,26,29,29,26,811,26,26,26,26,811,26,29,29,29,29,811,29,26,26,10718,811,811,29,29,26,-,-,26,29,
Closure_119, 38,38,38,38,38,38,10952,38,4728,38,-,38,10952,10952,38,38,38,38,10952,38,38,38,38,10943,38,38,38,38,38,10952,38,38,38,4728,10952,10952,38,38,38,-,-,38,38,
