Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Lang_47, 4,2,2,2,2,2,2,4,456,2,-,4,2,2,4,2,2,4,2,4,-,4,4,4157,4,2,2,2,2,2,2,4,4,250,2,2,2,2,4,-,-,4,2,
Lang_48, 1,1,1,1,1,1,2620,1,200,1,-,1,2620,2620,1,1,1,1,2620,1,1,1,1,2620,1,1,1,1,1,2620,1,1,1,200,2620,2620,1,1,1,-,-,1,1,
Lang_49, 1,1,1,1,1,1,1,1,492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,102,1,1,1,1,1,1,1,1,1,
Lang_50, 85,9,5,5,9,9,5,85,706,5,9,85,5,5,5,9,9,9,5,85,9,85,85,-,85,9,5,9,5,5,5,5,85,287,5,5,9,5,85,5,5,9,9,
Lang_51, 1,1,1,1,1,1,1,1,472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,102,1,1,1,1,1,1,1,1,1,
Lang_52, 1,1,1,1,1,1,1,1,472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3094,1,1,1,1,1,1,1,1,1,102,1,1,1,1,1,1,1,1,1,
Lang_53, 1,1,1,1,1,1,1,1,471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1782,1,1,1,1,1,1,1,1,1,194,1,1,1,1,1,-,-,1,1,
Lang_54, 1,1,1,1,1,1,1,1,464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3439,1,1,1,1,1,1,1,1,1,194,1,1,1,1,1,-,-,1,1,
Lang_55, 7,7,7,7,7,7,3461,7,469,7,-,7,3461,3461,7,7,7,7,3461,7,7,7,7,3457,7,7,7,7,7,3461,7,7,7,258,3461,3461,7,7,7,-,-,7,7,
Lang_56, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_57, 1,1,1,1,1,1,1,1,127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,84,1,1,1,1,1,1,1,1,1,
Lang_58, 2,2,2,2,2,2,2,2,493,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2152,2,2,2,2,2,2,2,2,2,184,2,2,2,2,2,-,-,2,2,
Lang_59, 1,1,1,1,1,1,1,1,479,1,-,1,1,1,1,1,1,1,1,1,1,1,1,3995,1,1,1,1,1,1,1,1,1,222,1,1,1,1,1,-,-,1,1,
Lang_60, 1,1,1,1,1,1,1,1,501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,804,1,1,1,1,1,1,1,1,1,183,1,1,1,1,1,-,-,1,1,
Lang_61, 1,14,14,14,14,14,798,1,341,14,-,1,798,798,1,14,14,1,798,1,1,1,1,785,1,14,14,14,14,798,14,1,1,247,798,798,14,14,1,-,-,1,14,
Lang_62, 1,1,1,1,1,1,1,1,465,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1498,1,1,1,1,1,1,1,1,1,222,1,1,1,1,1,-,-,1,1,
Lang_63, 1,1,1,1,1,1,1,1,514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2843,1,1,1,1,1,1,1,1,1,91,1,1,1,1,1,1,1,1,1,
Lang_64, 1,1,1,1,1,1,4702,1,421,1,-,1,4702,4702,1,1,1,1,4702,1,-,1,1,-,1,1,1,1,1,4702,1,1,1,243,4702,4702,1,1,1,-,-,1,1,
Lang_65, 6,6,6,6,6,6,1769,6,395,6,-,6,1769,1769,6,6,6,6,1769,6,6,6,6,1764,6,6,6,6,6,1769,6,6,6,256,1769,1769,6,6,6,-,-,6,6,
Math_1, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
